,X,Channel,Activity,Genotype,Sex,Age,Rep
370,238,adj_Monitor1_ch26,1197,Y160C,F,W0,R3
371,960,adj_Monitor5_ch5,1196.8,WG2,F,W0,R2
372,9,adj_Monitor10_ch18,1196.2,Y160C,F,W0,R4
373,79,adj_Monitor14_ch24,1196.2,W422X,F,W0,R1
374,940,adj_Monitor5_ch15,1195.6,WG2,F,W0,R2
375,498,adj_Monitor30_ch1,1195.2,Y160C,F,W0,R1
376,377,adj_Monitor26_ch10,1194.8,WG2,F,W0,R3
377,349,adj_Monitor24_ch13,1194.8,WG2,F,W0,R1
378,128,adj_Monitor16_ch10,1194.6,WG2,F,W0,R4
379,709,adj_Monitor38_ch8,1193.2,KO,M,W0,R4
380,806,adj_Monitor41_ch9,1192.8,Y160C,M,W0,R4
381,45,adj_Monitor11_ch22,1192.8,W422X,F,W0,R4
382,222,adj_Monitor1_ch11,1191.8,Y160C,F,W0,R3
383,624,adj_Monitor34_ch13,1191,KO,M,W0,R1
384,790,adj_Monitor41_ch23,1190.8,Y160C,M,W0,R4
385,31,adj_Monitor11_ch1,1190.4,W422X,F,W0,R4
386,993,adj_Monitor6_ch7,1190.4,KO,F,W0,R4
387,138,adj_Monitor16_ch2,1188.8,WG2,F,W0,R4
388,928,adj_Monitor50_ch4,1187.8,W422X,F,W0,R3
389,912,adj_Monitor50_ch19,1186.2,W422X,F,W0,R3
390,454,adj_Monitor28_ch26,1185.2,W422X,M,W0,R1
391,186,adj_Monitor18_ch5,1184.8,KO,F,W0,R2
392,623,adj_Monitor34_ch11,1183.8,KO,M,W0,R1
393,23,adj_Monitor10_ch30,1183.8,Y160C,F,W0,R4
394,648,adj_Monitor34_ch7,1183,KO,M,W0,R1
395,781,adj_Monitor41_ch15,1181,Y160C,M,W0,R4
396,51,adj_Monitor11_ch28,1179.6,W422X,F,W0,R4
397,770,adj_Monitor3_ch5,1178.4,W422X,M,W0,R3
398,771,adj_Monitor3_ch6,1178.4,W422X,M,W0,R3
399,274,adj_Monitor20_ch31,1178.2,Y160C,M,W0,R1
400,634,adj_Monitor34_ch23,1178,KO,M,W0,R1
401,486,adj_Monitor2_ch28,1176.4,WG2,M,W0,R2
402,644,adj_Monitor34_ch32,1176,KO,M,W0,R1
403,157,adj_Monitor16_ch8,1175.2,WG2,F,W0,R4
404,397,adj_Monitor26_ch29,1174.8,WG2,F,W0,R3
405,6,adj_Monitor10_ch15,1174.6,Y160C,F,W0,R4
406,929,adj_Monitor50_ch5,1173.4,W422X,F,W0,R3
407,796,adj_Monitor41_ch29,1172.6,Y160C,M,W0,R4
408,121,adj_Monitor15_ch4,1172.2,Y160C,F,W0,R2
409,832,adj_Monitor42_ch32,1172.2,W422X,F,W0,R2
410,469,adj_Monitor2_ch11,1171.4,WG2,M,W0,R2
